name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Doubletree By Hilton New York Times Square West,327,327,False,6.8,Review score,"11,269",4.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,One King Bed Hearing Accessible,False,False,True,13,2,2025-02-03
citizenM New York Bowery,395,395,False,8.7,Fabulous,"3,313",4.0,False,"Lower East Side, New York",,,1 extra-large double bed,King Room,False,True,True,13,2,2025-02-03
Moxy NYC Lower East Side,425,425,False,8.0,Very good,"1,241",4.0,False,"Lower East Side, New York",,,1 extra-large double bed,King Room  - No View,True,False,True,13,2,2025-02-03
Riverside Tower Hotel,327,327,False,8.5,Very good,"2,272",2.0,False,"Upper West Side, New York",,,1 double bed,Park View Double,False,True,False,13,2,2025-02-03
Hilton Garden Inn New York/Tribeca,260,260,False,7.5,Good,662,3.0,False,"Tribeca, New York",,,1 extra-large double bed,King Room,False,False,True,13,2,2025-02-03
"The Cloud One New York-Downtown, by the Motel One Group",349,349,False,8.6,Fabulous,"6,374",4.0,False,"Manhattan, New York",,9.4,1 extra-large double bed,Standard King Room,False,True,False,13,2,2025-02-03
SpringHill Suites by Marriott New York Manhattan Times Square,383,383,False,8.1,Very good,305,3.0,False,"Manhattan, New York",,9.4,1 extra-large double bed,Deluxe Corner King Room,True,True,False,13,2,2025-02-03
"The Mayfair Hotel Times Square, Ascend Hotel Collection",409,409,False,8.6,Fabulous,"1,902",3.0,False,"Manhattan, New York",,9.6,1 extra-large double bed,King Room - Non Smoking,False,True,False,13,2,2025-02-03
M Social Hotel Times Square New York,533,502,True,8.4,Very good,"11,798",4.0,False,"Manhattan, New York",,9.6,1 extra-large double bed,Social City View King,False,True,False,13,2,2025-02-03
The Knickerbocker,796,796,False,8.6,Fabulous,"2,311",5.0,False,"Manhattan, New York",,9.5,1 extra-large double bed,Superior Room with One King Bed,False,False,True,13,2,2025-02-03
Hyatt House New York/Chelsea,422,422,False,8.4,Very good,"1,738",3.0,False,"Chelsea, New York",,9.5,1 extra-large double bed,Den King Room,True,False,True,13,2,2025-02-03
Hyatt Place New York Chelsea,357,357,False,7.9,Good,"18,010",4.0,False,"Chelsea, New York",,,1 extra-large double bed,King Room with Roll-In Shower - Disability Access,True,True,False,13,2,2025-02-03
